"Depth","Name","Statistic","Cells","RenamedP46"
"","Fenotipagem_PBMC_046.fcs",NA,660024,660024
"> ","Fenotipagem_PBMC_046.fcs/Lymphocytes",55.2,364551,364551
"> > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells",95.5,348073,348073
"> > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells",95.2,331532,331532
"> > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells",3.39,11248,11248
"> > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/B cell sw",24,2695,2695
"> > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC",28.8,3244,3244
"> > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC",58.2,1887,1887
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgA",20.5,387,387
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgG",68.9,1300,1300
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgM",9.8,185,185
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+",0.9,17,17
"> > > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgA",5.88,1,1
"> > > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgG",88.2,15,15
"> > > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgM",5.88,1,1
"> > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC",41,1329,1329
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC/unsw MBC S+",1.28,17,17
"> > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm ",1.78,200,200
"> > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM",95,190,190
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/iga",11.6,22,22
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igg",67.9,129,129
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igM",17.4,33,33
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/SW Plasm S+",0.53,1,1
"> > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM",4.5,9,9
"> > > > > > > ","Fenotipagem_PBMC_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+",11.1,1,1
